LCD ,PLD,LFPD ,Density,PV(1),PV(2),PV(3),Dia,Pol,Dip,Qua ,Diffusion_Coefficient(?2/ps),D_LOG
11.35144,9.73082,10.16494,0.542931,19846.3,0.71632,1.31936,2.89,8.042,0,0.662,0.00187,-2.729217895
9.50439,8.981,9.50439,0.903296,352.326,0.50322,0.557093,2.89,8.042,0,0.662,0.000606,-3.217360074
22.77645,22.59329,22.77645,0.576779,1584.14,0.7156,1.24068,2.89,8.042,0,0.662,0.00292,-2.534444785
16.0767,15.93388,16.0767,0.536196,9651.7,0.72326,1.34887,2.89,8.042,0,0.662,0.00105,-2.978992699
16.17243,15.87921,16.17243,0.780546,880.499,0.62994,0.80705,2.89,8.042,0,0.662,0.00252,-2.598568204
35.39294,35.2441,35.3892,0.421813,4612,0.79356,1.88131,2.89,8.042,0,0.662,0.00324,-2.488873678
32.90312,32.73607,32.90312,0.44405,4557.26,0.78096,1.75872,2.89,8.042,0,0.662,0.00357,-2.447150629
9.02441,8.53533,9.02441,1.04209,302.121,0.4902,0.470403,2.89,8.042,0,0.662,0.000643,-3.191912237
9.02697,8.54051,9.02697,1.0455,594.112,0.48356,0.462517,2.89,8.042,0,0.662,0.00119,-2.925540931
11.33366,10.6911,11.33366,0.790836,880.095,0.57354,0.725233,2.89,8.042,0,0.662,0.00153,-2.81424127
34.61497,34.44668,34.61497,0.420378,4610.32,0.79376,1.88821,2.89,8.042,0,0.662,0.00488,-2.311337292
22.52993,22.28222,22.52993,0.58991,1815.69,0.73536,1.24656,2.89,8.042,0,0.662,0.00433,-2.363144732
29.53268,29.34631,29.53268,0.47864,2972.84,0.77516,1.61951,2.89,8.042,0,0.662,0.00211,-2.674775763
14.87005,14.50589,14.87005,0.753472,894.256,0.64632,0.857789,2.89,8.042,0,0.662,0.00347,-2.459601595
15.74056,15.39744,15.74056,0.703177,998.938,0.67062,0.953699,2.89,8.042,0,0.662,0.00116,-2.934623034
34.97956,34.82461,34.97956,0.428018,4082.85,0.79366,1.85427,2.89,8.042,0,0.662,0.00369,-2.432981563
3.22895,2.31269,3.22895,1.96452,42.2534,0.21908,0.111518,2.89,8.042,0,0.662,0.000176,-3.755382678
16.06665,15.76522,16.06665,0.578445,4563.48,0.71522,1.23645,2.89,8.042,0,0.662,0.0014,-2.853214942
8.45883,7.84341,8.45883,0.84156,856.233,0.56732,0.674129,2.89,8.042,0,0.662,0.000806,-3.093555351
9.86309,7.98521,9.59966,0.526648,8270.71,0.72614,1.3788,2.89,8.042,0,0.662,0.00131,-2.882391769
23.03655,18.49772,22.89168,0.116104,64837.2,0.9386,8.08412,2.89,8.042,0,0.662,0.0137,-1.863712976
14.6168,14.25063,14.6168,0.756286,1876.18,0.65656,0.868137,2.89,8.042,0,0.662,0.00145,-2.838350307
12.13117,11.68134,12.13117,1.00778,1376.04,0.5098,0.505865,2.89,8.042,0,0.662,0.00147,-2.831765258
5.77387,5.02763,5.60554,0.831566,2019.96,0.57018,0.68567,2.89,8.042,0,0.662,0.000592,-3.227975633
5.65179,5.05599,5.65179,0.889865,1964.89,0.55358,0.622094,2.89,8.042,0,0.662,0.000243,-3.614779027
9.6581,9.15909,9.6581,1.01278,3118.7,0.53342,0.526689,2.89,8.042,0,0.662,0.00118,-2.929557582
17.77181,14.42152,17.77181,0.246683,5130.63,0.87754,3.55736,2.89,8.042,0,0.662,0.0116,-1.933982647
5.44216,1.78729,5.44216,0.866637,929.493,0.53834,0.621183,2.89,8.042,0,0.662,0.000455,-3.342354575
23.68264,23.44472,23.68264,0.534289,1977.59,0.73568,1.37693,2.89,8.042,0,0.662,0.00239,-2.622243156
21.90241,21.65111,21.90241,0.600588,1821.42,0.69412,1.15573,2.89,8.042,0,0.662,0.00284,-2.546626398
14.80414,14.56137,14.80414,0.719281,962.046,0.65458,0.910047,2.89,8.042,0,0.662,0.0021,-2.676863372
11.39779,10.9469,11.39779,0.831091,595.598,0.58732,0.706686,2.89,8.042,0,0.662,0.00136,-2.865862519
9.34656,7.16556,9.34656,0.488145,3353.23,0.7499,1.53622,2.89,8.042,0,0.662,0.00156,-2.807378305
19.35841,18.84768,19.35841,0.522088,2135.47,0.75284,1.44198,2.89,8.042,0,0.662,0.00137,-2.86191408
